x,y,t,p
85,68,278468,0
91,70,278645,0
87,70,278811,1
90,69,279778,1
89,69,279819,1
91,71,280207,0
92,70,280344,0
92,71,280380,0
86,68,280624,0
88,70,280692,1
89,70,281465,1
83,68,281589,1
88,71,282025,1
90,69,282074,1
92,71,282324,0
86,68,282354,0
93,71,282437,0
87,68,282774,0
89,70,282925,1
93,70,282992,0
90,70,283337,1
89,68,283597,1
93,71,283810,0
91,69,284237,1
92,69,284667,1
90,70,284852,1
88,69,285100,0
90,71,285112,1
94,71,285349,0
87,68,285398,0
88,68,285411,0
91,71,285594,1
93,72,285780,0
94,72,286807,0
90,70,286985,1
89,69,287012,0
91,70,287063,1
93,69,287115,1
95,71,287266,0
92,71,288251,1
93,70,288294,1
91,71,288727,1
89,68,288829,0
95,71,288854,0
95,72,288959,0
90,69,289499,0
96,71,289814,0
86,68,289916,1
94,69,289970,1
92,71,290278,1
96,72,290517,0
92,70,290976,1
91,69,291586,0
93,71,291812,1
97,71,291855,0
97,72,293046,0
87,68,293257,1
91,69,293464,0
96,70,293819,1
78,67,293981,1
95,70,294104,1
95,69,294567,1
98,71,294650,0
92,69,294741,0
98,72,295100,0
94,71,296333,1
99,72,296547,0
95,71,296565,1
97,70,297007,1
99,71,297181,0
93,69,297395,0
93,70,297663,0
95,72,297686,1
99,72,297783,0
98,70,298492,1
99,73,298738,0
100,72,299076,0
100,71,299199,0
94,70,299209,0
94,69,300183,0
100,73,300188,0
96,72,300560,1
95,70,300614,0
96,71,301221,1
101,72,301435,0
95,69,301455,0
91,69,301810,1
95,70,302187,0
101,73,302199,0
99,71,302275,1
99,70,302422,1
97,72,302510,1
100,72,302774,0
97,71,302977,1
96,70,303153,0
102,72,303610,0
98,72,303670,1
100,71,303859,1
102,73,304037,0
98,71,304122,1
97,70,305036,0
99,72,305186,1
100,70,305523,1
102,73,305661,0
103,72,305736,0
103,73,305750,0
99,73,306689,1
103,73,307032,0
93,70,307044,1
100,72,307055,1
97,70,307348,0
104,73,308087,0
103,74,308126,0
104,72,308129,0
98,70,308145,0
102,72,308148,0
100,73,308574,1
100,72,309381,1
104,73,309708,0
102,72,309727,1
101,71,309825,1
102,71,310020,1
104,74,310207,0
95,70,310396,1
105,73,310558,0
101,73,310655,1
103,71,310729,1
99,70,310781,0
101,72,311021,1
102,73,311047,1
102,71,311156,1
105,72,311225,0
104,72,311439,1
99,71,311722,0
105,74,311851,0
103,72,311887,1
98,70,311907,0
100,71,311982,0
102,72,312182,1
106,73,312565,0
104,71,312751,1
104,72,313369,1
106,74,313484,0
105,72,313494,1
103,71,313512,1
101,71,313578,0
103,73,314061,1
102,71,314534,0
100,70,314902,0
107,73,314916,0
102,73,315005,1
101,71,315367,0
106,73,315492,0
107,74,315507,0
104,73,315702,1
102,71,316342,0
103,71,316973,0
104,73,317251,1
108,73,317459,0
108,74,317535,0
107,74,317546,0
98,70,317726,1
102,71,318035,0
104,74,318697,1
108,74,319140,0
103,71,319183,0
109,74,319508,0
105,73,319896,1
109,73,319961,0
105,74,320401,1
106,73,320893,1
104,72,321202,0
109,75,321280,0
109,74,321338,0
104,71,321489,0
110,74,321542,0
107,72,321603,1
99,71,321851,1
110,73,321978,0
107,74,322311,1
106,73,322383,1
106,74,322575,1
108,72,322624,1
110,74,323037,0
110,75,323565,0
111,74,323666,0
109,72,324081,1
105,72,324294,0
107,74,324360,1
108,74,324474,1
111,75,324964,0
111,74,325015,0
107,73,325402,1
109,73,325659,1
104,71,325790,0
108,74,325808,1
108,73,325890,1
112,74,326026,0
110,73,326324,1
106,72,326557,0
110,72,326629,1
109,72,326805,1
107,72,327048,0
112,75,327122,0
109,74,327286,1
105,71,328104,0
113,74,328172,0
113,75,328788,0
103,71,328887,1
111,72,329086,1
111,73,329204,1
107,72,329267,0
108,72,329842,0
110,74,330320,1
109,74,330333,1
114,74,330643,0
114,75,330719,0
109,72,330920,0
113,75,331025,0
113,76,331051,0
112,73,331084,1
104,71,331547,1
104,72,331670,1
110,75,331741,1
114,75,332170,0
94,70,332273,1
114,76,332755,0
111,74,332784,1
108,72,332804,0
115,75,332885,0
115,74,332970,0
113,73,333866,1
115,76,333878,0
109,72,334116,0
110,73,334152,0
116,75,334471,0
105,72,334684,1
114,73,335409,1
113,75,335503,1
112,75,335571,1
111,73,335694,0
116,76,335733,0
116,75,335844,0
110,72,336062,0
106,72,336769,1
117,75,336886,0
115,75,337233,0
113,75,337443,1
117,76,337747,0
115,74,337868,1
111,73,337956,0
114,75,338068,1
115,73,338551,1
112,73,338816,0
118,75,339130,0
107,72,339178,1
118,76,339396,0
114,74,339805,1
115,75,339938,1
114,75,339998,1
111,72,340113,0
108,72,340525,1
113,73,341001,0
119,75,341144,0
118,76,341293,0
119,76,341356,0
115,75,341567,1
117,75,342280,0
114,76,342399,1
112,73,342409,0
120,76,343128,0
119,76,343171,0
113,73,343390,0
116,75,343628,1
120,75,343692,0
119,77,343779,0
114,74,343969,0
116,76,344012,1
114,73,344316,0
120,76,344344,0
117,74,344377,1
116,74,344379,1
120,77,344575,0
117,75,344766,1
116,75,344879,1
118,74,345228,1
121,76,345302,0
115,74,345503,0
117,76,345777,1
111,73,345878,1
118,76,345905,1
121,77,346208,0
116,74,346604,0
119,74,346737,1
120,75,346876,1
119,75,347229,1
121,76,347374,0
117,75,347456,1
115,73,347493,0
118,76,347533,1
111,72,347633,1
122,76,347751,0
118,75,347786,1
112,73,348073,1
122,77,348091,0
121,77,348197,0
119,76,348243,1
116,74,348981,0
117,74,349101,0
119,77,349401,1
122,77,349630,0
119,76,349721,1
123,76,349957,0
123,77,350137,0
120,75,350148,1
120,74,350343,1
118,74,350692,0
119,76,351402,1
123,77,351713,0
121,77,351755,1
113,73,352035,1
124,77,352128,0
117,74,352235,0
120,76,352305,1
124,76,352358,0
123,78,352716,0
118,74,353270,0
121,76,353571,1
124,78,353821,0
124,77,353837,0
121,77,353921,1
125,77,354154,0
119,74,354306,0
119,75,354399,0
124,75,354830,1
120,75,355109,0
110,74,355124,1
124,76,355140,1
122,77,355232,1
125,75,355327,1
121,76,355575,1
125,75,355744,1
126,77,355859,0
125,77,355890,0
120,74,355942,0
125,78,355990,0
125,75,356143,0
116,74,356675,1
125,75,356996,1
126,75,357044,1
126,77,357281,0
123,75,357341,1
126,78,357423,0
123,77,357482,1
122,76,357554,1
125,75,357607,0
122,77,357709,1
128,72,357987,1
117,74,358043,1
129,71,358054,1
128,71,358063,1
129,72,358068,1
127,77,358315,0
126,75,358503,0
123,77,358907,1
127,78,358973,0
128,71,359050,0
121,75,359191,0
123,76,359668,1
128,72,359925,0
129,72,360080,0
124,77,360127,1
128,78,360592,0
128,77,360679,0
127,78,360820,0
129,71,360869,0
123,75,361202,0
122,75,361734,0
128,78,362050,0
129,78,362581,0
125,77,362672,1
129,77,362804,0
121,82,362958,1
121,82,363075,1
120,82,363088,1
125,78,363102,1
126,76,363224,1
128,79,363709,0
129,78,363943,0
123,75,363999,0
122,82,364097,1
122,82,364213,1
121,82,364219,1
130,78,364244,0
130,75,364301,0
129,79,364496,0
121,82,364532,0
127,76,364611,1
122,82,364643,0
124,75,364882,0
120,82,365315,0
130,78,365383,0
121,82,365668,0
130,79,365766,0
127,78,366041,1
126,77,366293,1
125,76,366752,0
131,78,366763,0
125,75,367060,0
128,76,367195,1
131,79,367333,0
122,74,368156,1
126,76,368325,0
132,78,368594,0
132,79,368950,0
128,78,369081,1
128,77,369165,1
131,79,369261,0
128,85,369424,0
126,78,369616,1
128,86,369637,0
129,77,369661,1
129,76,369828,1
128,79,370072,1
132,79,370285,0
127,76,370295,0
129,84,370480,0
133,79,370543,0
132,80,370795,0
129,78,371079,1
133,78,371120,0
128,76,371144,0
127,78,371575,1
133,79,371637,0
129,79,372036,1
133,80,372269,0
134,79,373031,0
131,79,373531,1
134,80,374174,0
125,75,374277,1
130,78,374473,1
135,79,374618,0
127,76,374620,0
129,77,374658,0
133,79,374708,0
134,78,374955,0
128,76,374999,0
131,79,375006,1
135,80,375400,0
128,85,375630,1
135,79,375999,0
126,75,376259,1
134,78,376577,1
132,79,376700,1
135,80,376811,0
133,78,376902,1
136,79,377012,0
129,76,377191,0
136,80,377238,0
131,78,377268,1
133,79,377617,1
132,77,377776,1
133,77,377906,1
132,78,378099,1
130,77,378329,0
127,75,378601,1
132,80,378647,1
136,80,378648,0
133,79,378790,1
132,79,378907,1
137,79,378950,0
137,80,378979,0
127,76,379029,1
125,75,379077,0
135,78,380084,1
134,78,380108,1
