Unnamed: 0,nframe_71212104600,absframe_71212104600,x0_71212104600,y0_71212104600,area_71212104600,yadj_71212104600,flower_71212104600,visit_num_71212104600,sx_71212104600,sy_71212104600,speeds_71212104600
266,266,73564,1010.0,889.0,545.0,889.0,3.0,1.0,1010.3333333333334,889.0,0.6666666666667425
267,267,73565,1009.0,889.0,545.0,889.0,3.0,1.0,1009.6666666666666,889.0,0.7453559924999129
268,268,73566,1008.0,888.0,560.0,888.0,3.0,1.0,1009.0,888.6666666666666,0.3333333333333712
269,269,73567,1009.0,889.0,578.0,889.0,3.0,1.0,1008.6666666666666,888.6666666666666,0.6666666666667425
270,270,73568,1011.0,889.0,575.0,889.0,3.0,1.0,1009.3333333333334,888.6666666666666,0.9428090415820902
271,271,73569,1010.0,890.0,543.0,890.0,3.0,1.0,1010.0,889.3333333333334,0.7453559924999129
272,272,73570,1010.0,891.0,527.0,891.0,3.0,1.0,1010.3333333333334,890.0,1.054092553389436
273,273,73571,1012.0,892.0,520.0,892.0,3.0,1.0,1010.6666666666666,891.0,0.3333333333333712
274,274,73572,1010.0,891.0,502.0,891.0,3.0,1.0,1010.6666666666666,891.3333333333334,0.4714045207909245
275,275,73573,1009.0,892.0,484.0,892.0,3.0,1.0,1010.3333333333334,891.6666666666666,0.4714045207910853
276,276,73574,1011.0,893.0,459.0,893.0,3.0,1.0,1010.0,892.0,0.3333333333333712
277,277,73575,1010.0,892.0,495.0,892.0,3.0,1.0,1010.0,892.3333333333334,1.201850425154705
278,278,73576,1012.0,890.0,513.0,890.0,3.0,1.0,1011.0,891.6666666666666,0.7453559924999129
279,279,73577,1010.0,891.0,501.0,891.0,3.0,1.0,1010.6666666666666,891.0,0.3333333333333712
280,280,73578,1011.0,892.0,499.0,892.0,3.0,1.0,1011.0,891.0,1.201850425154642
281,281,73579,1009.0,892.0,474.0,892.0,3.0,1.0,1010.0,891.6666666666666,1.201850425154705
282,282,73580,1007.0,893.0,519.0,893.0,3.0,1.0,1009.0,892.3333333333334,1.3333333333333712
