x,y,t,p
110,158,36080,1
114,156,36097,0
113,155,36145,0
114,155,36237,0
112,157,36242,0
113,157,36267,0
112,156,36291,1
115,155,36435,0
111,158,36444,1
111,157,36469,1
115,156,36537,0
112,157,36596,1
111,156,36683,1
116,155,36745,0
116,155,36745,0
112,157,36802,1
117,155,36976,0
112,156,36990,1
113,156,36999,1
117,154,37156,0
113,157,37173,1
114,155,37277,1
117,155,37329,0
116,156,37349,0
118,154,37388,0
114,156,37469,1
118,155,37671,0
110,157,37680,1
119,154,37702,0
115,156,37703,1
113,155,37741,1
115,155,37918,1
116,155,37960,1
116,156,38028,1
120,154,38040,0
120,153,38051,0
113,156,38126,1
119,153,38161,0
117,155,38183,1
119,155,38243,0
121,153,38269,0
117,154,38270,1
121,154,38562,0
121,153,38590,0
118,154,38591,1
122,153,38660,0
118,155,38688,1
119,154,38835,1
122,152,38858,0
119,155,38885,1
123,153,38911,0
123,152,39033,0
122,154,39148,0
119,153,39148,1
121,153,39196,1
124,152,39218,0
120,154,39294,1
125,152,39478,0
124,153,39541,0
124,152,39555,0
119,154,39569,1
121,153,39580,1
123,153,39598,0
121,154,39659,1
125,152,39802,0
126,152,39846,0
122,153,39848,1
122,154,39870,1
126,151,39870,0
125,151,39989,0
125,153,40050,0
123,153,40071,1
127,151,40074,0
123,152,40203,1
127,152,40244,0
124,152,40280,1
127,151,40299,0
128,151,40431,0
124,153,40533,1
125,151,40556,1
125,152,40563,1
127,150,40587,0
128,150,40652,0
124,152,40747,1
129,151,40760,0
129,150,40796,0
125,153,40802,1
125,152,40817,1
130,150,41021,0
126,152,41093,1
128,152,41119,0
126,151,41143,1
127,151,41215,1
127,150,41307,1
131,150,41324,0
130,149,41414,0
130,150,41424,0
130,151,41439,0
131,149,41550,0
132,150,41609,0
132,149,41701,0
128,151,41755,1
128,152,41760,1
129,150,41971,1
130,150,41974,1
133,149,41995,0
129,151,42068,1
131,151,42224,0
132,150,42229,0
134,149,42285,0
130,150,42373,1
128,150,42409,1
134,148,42417,0
133,150,42436,0
130,151,42514,1
135,148,42566,0
135,149,42698,0
131,150,42711,1
132,150,42815,1
